candidate_id,candidate_origin,name,brand_or_handle,segment,primary_platform_or_asset,public_profile_url,contact_type,contact_source_url,contact_value_public,match_reason,owned_audience_signal,monetization_signal,ai_affinity,network_value_signal,evidence_url_1,evidence_summary_1,evidence_url_2,evidence_summary_2,fit_audience,fit_monetization,fit_multiplatform,fit_content_pressure,fit_fan_relationship,fit_ai_affinity,fit_score,act_reachability,act_early_adopter,act_switching_ease,act_size_fit,act_immediate_value,activation_score,net_managed_creator_network,net_creator_facing_audience,net_owned_community,net_distribution_leverage,network_score,priority_score,priority,previous_fit_score,previous_activation_score,previous_network_score,previous_priority_score,verification_level,verified_at,funnel_status,outreach_status,risk_or_caveat,scoring_version
021,new80,Jay Clouse,Creator Science,Creator Entrepreneur / Creator Educator,Newsletter + podcast + community + YouTube,https://creatorscience.com/author/jayclouse/,Official site / newsletter / social,https://creatorscience.com/author/jayclouse/,官网联系与公开社媒,经营 Creator Science 内容、会员、播客与教育产品，并持续讨论 AI/Vibe Coding；是完整 Creator Business 的高质量样本。,High,Membership / education / sponsorship / community,High,Very High,https://creatorscience.com/author/jayclouse/,官方作者页可核验 Creator Science 业务和持续内容。,https://creatorscience.com/,Creator Science 主页展示创作者教育与商业体系。,20,20,15,15,15,10,95,10,15,15,10,20,70,20,25,25,15,85,85.5,P0,96,75,95,89.5,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
020,pilot20,Muhammad Kamran Blouch,Kamran AI Insights,AI-native Creator / Educator,LinkedIn + YouTube + Discord/WhatsApp community,https://www.linkedin.com/in/muhammad-kamran-blouch-94334a19a/,Public business email / LinkedIn / Instagram,https://salda.ws/video.php?id=WxtwLIzQ_-0,kamranaiinsights@gmail.com; LinkedIn Muhammad Kamran Blouch; Instagram @kamranaiinsights,教授 AI Influencer 创建并运营社群，兼具 AI 接受度和 Network Value。,Medium-High,Education / community,High,High,https://www.linkedin.com/in/muhammad-kamran-blouch-94334a19a/,"Public LinkedIn profile confirms Muhammad Kamran Blouch, active AI/automation creator, ~3K followers, and ongoing Agentic AI content.",https://salda.ws/video.php?id=TWN4FhJlhbM,"Aug 2026 current video repeats LinkedIn/Instagram, Discord/WhatsApp community and business email, confirming cross-platform identity and reachability.",15,15,15,15,10,15,85,25,20,15,15,20,95,10,20,15,15,60,83.0,P1,83,83,70,80.4,A,2026-09-13,candidate_verified,not_contacted_case_restriction,Contact email is confirmed in multiple current video descriptions; LinkedIn provides first-party identity/activity corroboration.,v2.0-evidence-rubric-50-30-20
075,new80,David Ondrej,David Ondrej / New Society,AI-native Creator / Community,YouTube + paid community,https://linktr.ee/davidondrejvision,Official link hub / social,https://linktr.ee/davidondrejvision,官方社媒/社区入口,AI Creator + 付费社区运营者，既有技术亲和也有订阅/社区业务，和 Onely 的完整价值链高度一致。,High,Paid community / education / sponsorship,Very High,High,https://www.skool.com/%40davidondrej,公开 Skool 页面可核验付费社区。,https://linktr.ee/davidondrejvision,官方链接页。,20,20,10,10,15,15,90,10,20,15,10,20,75,10,10,20,10,50,77.5,P1,93,86,83,88.9,B,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
100,new80,Neuro-sama,Neuro-sama / Vedal AI,AI-native Virtual Creator,Twitch + YouTube + music + merch + community,https://vedal.ai/,Public business email,https://vedal.ai/,vedal@vedal.ai,原生 AI VTuber，拥有直播、音乐、商品、社区和开源技术生态，是 Onely 虚拟 Creator 场景中最贴近 AI-native 的样本之一。,High,Merch / music / community / creator media,Very High,High,https://vedal.ai/,官方站点明确 Neuro-sama 为 AI VTuber，并展示多平台、商品、音乐和社区。,https://vedal.ai/,官方站点公开联系邮箱。,20,20,15,15,10,15,95,20,20,10,10,20,80,0,0,10,15,25,76.5,P1,99,88,90,93.9,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
063,new80,Greg Isenberg,Greg Isenberg,AI-native Creator / Community Builder,Newsletter + podcast + community/business,https://www.gregisenberg.com/,Official site / newsletter,https://www.gregisenberg.com/,官网联系/Newsletter,专注社区型创业、AI 产品和内容自动化，拥有 Newsletter/Podcast 与创作者/创业者网络。,High,Newsletter / media / community / products,Very High,Very High,https://www.gregisenberg.com/,官方主页。,https://www.gregisenberg.com/about-me,官方 About 展示社区与创业背景。,20,15,15,15,10,15,90,0,20,20,10,20,70,10,10,10,15,45,75.0,P1,93,55,90,81.0,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
003,pilot20,Estelle Dia,Estelle Dia,Creator Entrepreneur / Social Media Educator,Podcast + social + store,https://podcasts.apple.com/hr/podcast/estelledia/id1883307075,Public business email / social,https://podcasts.apple.com/hr/podcast/estelledia/id1883307075,节目页公开商务联系与社媒,持续输出社媒增长内容，并有课程、获客资料和商店；对一体化内容、粉丝与变现工具匹配度高。,High,Course / digital products / creator education,Medium-High,High,https://podcasts.apple.com/hr/podcast/estelledia/id1883307075,公开节目页可核验持续内容与联系渠道。,,,20,20,10,15,5,10,80,25,10,15,10,20,80,20,25,0,10,55,75.0,P1,91,80,70,83.5,B,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
024,new80,Roberto Blake,Roberto Blake / Awesome Creator Academy,Creator Entrepreneur / Creator Educator,YouTube + academy + newsletter,https://robertoblake.com/,Public business email,https://robertoblake.com/contact/,info@robertoblake.com,长期 Creator 教育者并经营 Awesome Creator Academy，可直接提供高质量 Beta 反馈，且具备创作者网络扩散价值。,High,Academy / courses / sponsorship / consulting,Medium-High,Very High,https://www.awesomecreatoracademy.com/,官方 Academy 展示创作者教育与社群。,https://robertoblake.com/contact/,官方联系页提供商务联系。,20,20,10,10,10,10,80,20,10,15,10,20,75,20,25,5,10,60,74.5,P2,95,70,98,88.1,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
068,new80,Liam Ottley,Liam Ottley,AI-native Creator / AI Agency Educator,YouTube + community + AI businesses,https://www.liamottley.com/,Official site / community,https://www.liamottley.com/,官网社群/联系入口,运营 AI 教育、社区和多项 AI 业务，对 Creator/Agency 工作流均有匹配。,High,Community / education / AI business programs,Very High,Very High,https://www.liamottley.com/,官方主页展示 AI 业务与社区。,,,20,15,10,10,10,15,80,0,20,10,10,20,60,35,20,15,10,80,74.0,P2,93,68,90,84.9,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
071,new80,Gergely Orosz,The Pragmatic Engineer,Tech Creator / Newsletter,Newsletter + company plans,https://newsletter.pragmaticengineer.com/about,Public business email,https://blog.pragmaticengineer.com/contact/,hello@pragmaticengineer.com,拥有大型付费技术 Newsletter、企业计划和高度专业受众，商业化明确。,High,Paid newsletter / company subscriptions / sponsorship,High,High,https://newsletter.pragmaticengineer.com/about,官方 Newsletter About。,https://blog.pragmaticengineer.com/contact/,官方联系页。,20,20,5,10,15,10,80,20,15,10,10,20,75,20,10,20,5,55,73.5,P2,86,45,85,73.5,A,2026-09-13,candidate_verified,not_contacted_case_restriction,规模大且垂直技术向，对 Onely 全模块需求不如 Creator Educator。,v2.0-evidence-rubric-50-30-20
098,new80,CodeMiko,CodeMiko,Virtual Creator / VTuber,Twitch + YouTube + community + merch,https://linktr.ee/codemiko,Public business email,https://linktr.ee/codemiko,codemiko@underscoretalent.com,虚拟直播 Creator，运营多平台、Discord、独家内容、商品和品牌合作，Creator Business 闭环完整。,High,Merch / partnerships / exclusive content / community,High,High,https://linktr.ee/codemiko,官方 Linktree 显示多平台、社群、商业合作与商务邮箱。,https://linktr.ee/codemiko/shop,官方商品/合作入口。,20,15,15,15,10,15,90,20,15,10,10,20,75,0,0,10,15,25,72.5,P2,96,78,88,89.0,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
